,domain,revenue,is_confidential,name,seller_id,seller_type,_merge
2029,freeads.co.uk,,0,Freeads,fdfbd6b9a8e7c6275ec56dded5e78936,PUBLISHER,right_only
2030,footballfancast.com,,0,Snack Media,fe21b0f3540708003e5f51ecfbe4c195,PUBLISHER,right_only
2031,ebay.com,,0,Ebay,fe21b0f3540708003e5f51ecfbe4c196,PUBLISHER,right_only
2032,unilad.co.uk,,0,Unilad,fe231be431e9e170aaf90e4e7775befa,PUBLISHER,right_only
2033,ketemulagi.com,,0,ketemulagi,fe5799e78dcb21bba6eb78330e2308a8,PUBLISHER,right_only
2034,yellowcorners.com,,0,Forepeak Media,fe652148899f45345cff13115ef3b54b,PUBLISHER,right_only
2035,bustle.com,,0,Bustle,fe741f59975bdfd7ffa53d1695a4cf07,PUBLISHER,right_only
2036,msn.com,8243.944810000074,0,Verizon Media,fe8de410e31718a67fa6ed89dd8984bc,PUBLISHER,both
2037,altpress.com,,0,Alternative Press,fea828e64f7c4a1b8749313f2fb1f93e,PUBLISHER,right_only
2038,fmagsite.com,,0,fmag,feba8f4d7dc98f1c94a4a9c97ac0654e,PUBLISHER,right_only
2039,ikreate.es,,0,iKreate,fed2e85c303cbb9b6daf7802c202ea67,PUBLISHER,right_only
2040,nh1.com,,0,NH1,ff0e2d185026f46fe48081b9aed82216,PUBLISHER,right_only
2041,hommedumatch.fr,,0,Hommedumatch.fr,ff22afdbf65284d081a99ac3bf230047,PUBLISHER,right_only
2042,ucas.com,,0,UCAS,ff36b16d894b5e3b69b9685df9a9704e,PUBLISHER,right_only
2043,zemanta.com,,0,EXT Zemanta,ff448f8cf0bfac827ab0c537e65c4060,PUBLISHER,right_only
